State,Bill Name,Issues,Status,Status Detail,Status Date,In Court Link
"New Jersey","A.775","Restricting student & educator rights | School sports bans","Introduced","","01/09/2024",""
"Pennsylvania","HB 216","Restricting student & educator rights | School sports bans","Defeated","Legislative session ended","11/13/2024",""
"New Jersey","S.419","Other school restrictions | Restricting student & educator rights","Introduced","Referred to committee","01/09/2024",""
"New Jersey","A.2720","Other school restrictions | Restricting student & educator rights","Advancing","Legislative session adjourned, carries over to 2025,","12/19/2024",""
"Virginia","H.B. 1229","Public accommodation bans | Restricting student & educator rights | School facilities bans | School sports bans","Defeated","Legislative session ended","02/22/2025",""
"Virginia","H.B. 8","Healthcare restrictions | Other healthcare barriers | Religious exemptions | Weakening Civil Rights Laws","Defeated","Legislative session ended","02/22/2025",""
"Virginia","S.B. 749","Restricting student & educator rights | School sports bans","Defeated","Legislative session ended","02/22/2025",""
"Florida","H.B. 1425","Other anti-LGBTQ bills","Passed into Law","Governor signed","04/26/2024",""
"New Jersey","A.2580","Curriculum censorship | Restricting student & educator rights","Advancing","Legislative session adjourned, carries over to 2025,","12/19/2024",""
"New Jersey","A.531","Curriculum censorship | Restricting student & educator rights","Introduced","","01/10/2024",""
"New Jersey","A.410","Other school restrictions | Restricting student & educator rights","Introduced","Referred to committee","01/09/2024",""
"New Jersey","S.1329","Other school restrictions | Restricting student & educator rights","Introduced","Referred to committee","01/09/2024",""
"Pennsylvania","HB 138","Healthcare restrictions | Other healthcare barriers","Defeated","Legislative session ended","11/13/2024",""
"Pennsylvania","HB 319","Curriculum censorship | Restricting student & educator rights","Defeated","Legislative session ended","11/13/2024",""
"Pennsylvania","H.B.2157","Healthcare restrictions | Other healthcare barriers","Defeated","Legislative session ended","11/13/2024",""
"Pennsylvania","H.B.2421","Healthcare age restrictions | Healthcare restrictions | Other healthcare barriers","Defeated","Legislative session ended","11/13/2024",""
"Pennsylvania","H.B.2546","Other anti-LGBTQ bills","Defeated","Legislative session ended","11/13/2024",""
"Ohio","HB 8","Forced outing in schools | Restricting student & educator rights","Passed into Law","Governor signed","01/08/2025",""
"Virginia","S.B. 723","Restricting student & educator rights | School sports bans","Defeated","Legislative session ended","02/22/2025",""
"Virginia","S.J. 49","Re-definition of sex | Weakening Civil Rights Laws","Defeated","Stricken in committee at request of Patron ","02/02/2024",""
"Ohio","H.B.686","Other school restrictions | Restricting student & educator rights","Defeated","Legislative session ended","12/19/2024",""
"Virginia","S.B. 68","Restricting student & educator rights | School sports bans","Defeated","Legislative session ended","02/22/2025",""
"Virginia","S.B. 671","Healthcare age restrictions | Healthcare restrictions | ","Defeated","Legislative session ended","02/22/2025",""
"Tennessee","SB 596","Religious exemptions | Weakening Civil Rights Laws","Passed into Law","Companion bill passed into law","02/21/2024",""
"Virginia","H.B. 670","Forced outing in schools | Other anti-LGBTQ bills | Restricting student & educator rights","Defeated","Legislative session ended","02/22/2025",""
"Virginia","H.B. 1120","Restricting student & educator rights | School sports bans","Defeated","Legislative session ended","02/22/2025",""
"Virginia","H.J. 86","Re-definition of sex | Weakening Civil Rights Laws","Defeated","Legislative session ended","02/22/2025",""
"New Hampshire","H.B.1185","Curriculum censorship | Restricting student & educator rights","Defeated","Executive Session Interim Study Report: Not Recommended for Future Legislation","10/31/2024",""
"New Hampshire","S.B.375","Restricting student & educator rights | School facilities bans | School sports bans","Defeated","Executive Session Interim Study Report: Not Recommended for Future Legislation","10/31/2024",""
"New Hampshire","HB 619","Curriculum censorship | Healthcare age restrictions | Healthcare restrictions | Restricting student & educator rights | School facilities bans | School sports bans","Passed into Law","Governor signed","07/19/2024",""
"New Hampshire","H.B.1660","Healthcare funding restrictions | Healthcare restrictions | ","Defeated","Inexpedient to legislate, veto session","10/10/2024",""
"New Hampshire","S.B.562","Other civil rights restrictions | Weakening Civil Rights Laws","Defeated","Inexpedient to legislate, veto session","10/10/2024",""
"Virginia","S.B. 37","Forced outing in schools | Other anti-LGBTQ bills | Restricting student & educator rights","Defeated","Legislative session ended","02/22/2025",""
"Oklahoma","HB 1466","Healthcare age restrictions | Healthcare restrictions | ","Defeated","Failed to meet House deadline","02/29/2024",""
"Oklahoma","S.B.455","Other anti-LGBTQ bills","Defeated","Failed to meet Senate deadline","02/29/2024",""
"Oklahoma","SB 887","Religious exemptions | Weakening Civil Rights Laws","Defeated","Failed to meet Senate deadline","02/29/2024",""
"Oklahoma","SB 788","Healthcare age restrictions | Healthcare restrictions | ","","","",""
"Oklahoma","SB 937","Curriculum censorship | Drag bans | Free speech & expression bans | Other school restrictions | Restricting student & educator rights | School sports bans","Defeated","Failed to meet Senate deadline","02/29/2024",""
"Oklahoma","HB 1377","Healthcare age restrictions | Healthcare restrictions | Other healthcare barriers","Defeated","Failed to meet House deadline","02/29/2024",""
"Oklahoma","SB 252","Healthcare age restrictions | Healthcare restrictions | ","Defeated","Failed to meet Senate deadline","02/29/2024",""
"Oklahoma","SB 787","Healthcare age restrictions | Healthcare restrictions | ","Defeated","Failed to meet Senate deadline","02/29/2024",""
"Oklahoma","S.B.251","Re-definition of sex | Weakening Civil Rights Laws","Defeated","Failed to meet Senate deadline","02/29/2024",""
"Oklahoma","SB 935","Other school restrictions | Restricting student & educator rights","Defeated","Failed to meet Senate deadline","02/29/2024",""
"Oklahoma","SB 345","Healthcare age restrictions | Healthcare restrictions | ","Defeated","Failed to meet Senate deadline","02/29/2024",""
"Oklahoma","SB 786","Healthcare age restrictions | Healthcare restrictions | ","Defeated","Failed to meet Senate deadline","02/29/2024",""
"Oklahoma","SB 614","Healthcare age restrictions | Healthcare restrictions | ","Defeated","Failed to meet Senate deadline","02/29/2024",""
"Oklahoma","HB 2736","Drag bans | Free speech & expression bans | ","Defeated","Failed to meet House deadline","02/29/2024",""
"Oklahoma","HB 1780","Curriculum censorship | Restricting student & educator rights","Defeated","Failed to meet House deadline","02/29/2024",""
"Oklahoma","HB 2186","Drag bans | Free speech & expression bans | ","Defeated","Failed to meet House deadline","02/29/2024",""
"Oklahoma","SB 129","Healthcare age restrictions | Healthcare restrictions | Other healthcare barriers","Defeated","Failed to meet Senate deadline","02/29/2024",""
"Oklahoma","HB 2177","Healthcare age restrictions | Healthcare restrictions | Other healthcare barriers","Defeated","Failed to meet House deadline","02/29/2024",""
"Oklahoma","SB 408","Other anti-LGBTQ bills","Defeated","Failed to meet Senate deadline","02/29/2024",""
"Oklahoma","S.B.202","Other civil rights restrictions | Re-definition of sex | Weakening Civil Rights Laws","Defeated","Failed to meet Senate deadline","02/29/2024",""
"Oklahoma","SB 932","Other school restrictions | Restricting student & educator rights","Defeated","Failed to meet Senate deadline","02/29/2024",""
"Oklahoma","SB 973","Curriculum censorship | Restricting student & educator rights","Defeated","Failed to meet Senate deadline","02/29/2024",""
"Oklahoma","HB 1781","Curriculum censorship | Restricting student & educator rights","Defeated","Failed to meet House deadline","02/29/2024",""
"Oklahoma","HB 1011","Healthcare age restrictions | Healthcare restrictions | Other healthcare barriers","Defeated","Failed to meet House deadline","02/29/2024",""
"Oklahoma","SB 789","Healthcare age restrictions | Healthcare restrictions | ","Defeated","Failed to meet Senate deadline","02/29/2024",""
"Oklahoma","SB 943","Other school restrictions | Restricting student & educator rights","Defeated","Failed to meet Senate deadline","02/29/2024",""
"Oklahoma","SB 933","Drag bans | Free speech & expression bans | ","Defeated","Failed to meet Senate deadline","02/29/2024",""
"Oklahoma","SB 1004","Other anti-LGBTQ bills","Defeated","Failed to meet Senate deadline","02/29/2024",""
"Oklahoma","SB 1017","Other school restrictions | Restricting student & educator rights","Defeated","Failed to meet Senate deadline","02/29/2024",""
"Oklahoma","SB 30","Curriculum censorship | Forced outing in schools | Other school restrictions | Restricting student & educator rights","Defeated","Failed to meet Senate deadline","02/29/2024",""
"Oklahoma","SB 250","Healthcare funding restrictions | Healthcare restrictions | ","Defeated","Failed to meet Senate deadline","02/29/2024",""
"Oklahoma","SB 878","Healthcare age restrictions | Healthcare restrictions | ","Defeated","Failed to meet Senate deadline","02/29/2024",""
"Oklahoma","SB 1007","Restricting student & educator rights | School sports bans","Defeated","Failed to meet Senate deadline","02/29/2024",""
"Oklahoma","SB 131","Curriculum censorship | Restricting student & educator rights","Defeated","Failed to meet Senate deadline","02/29/2024",""
"Wisconsin","AB 377","Restricting student & educator rights | School sports bans","Defeated","Vetoed by Governor; Assembly failed to override veto","05/15/2024",""
"Michigan","HB 4510","Restricting student & educator rights | School facilities bans","Introduced","Carried over","01/10/2024",""
"South Carolina","SB 627","Healthcare age restrictions | Healthcare funding restrictions | Healthcare restrictions | ","Defeated","Legislative session ended","05/09/2024",""
"Kansas","HB 2427","Restricting student & educator rights | School facilities bans","Defeated","Legislative session ended","04/30/2024",""
"New Hampshire","HB 396","Barriers to accurate IDs | ","Defeated","Veto Sustained","10/10/2024",""
"New Hampshire","H.B.1356","Forced outing in schools | Other school restrictions | Religious exemptions | Restricting student & educator rights | Weakening Civil Rights Laws","Defeated","Inexpedient to legislate","03/07/2024",""
"New Hampshire","H.B.1312","Other anti-LGBTQ bills","Passed into Law","Governor signed","07/19/2024",""
"Oklahoma","HB 1449","Other anti-LGBTQ bills","Passed into Law","Governor signed","05/31/2024",""
"New Hampshire","H.B.1205","Restricting student & educator rights | School sports bans","Passed into Law","Governor signed","07/19/2024",""
"Idaho","H.567","Curriculum censorship | Restricting student & educator rights","Defeated","Legislative session ended","04/10/2024",""
"Mississippi","S.B. 2722","Restricting student & educator rights | School facilities bans","Defeated","Died in committee","03/05/2024",""
"Mississippi","H.B. 1521","Restricting student & educator rights | School facilities bans","Defeated","Died in committee","03/05/2024",""
"New Hampshire","S.B.524","Restricting student & educator rights | School sports bans","Defeated","Legislative session ended","06/13/2024",""
"New Hampshire","S.B.341","Forced outing in schools | Restricting student & educator rights","Defeated","Legislative session ended","06/13/2024",""
"Massachusetts","H 509","Curriculum censorship | Restricting student & educator rights","Defeated","Legislative session ended","12/31/2024",""
"South Carolina","HB 3728","Curriculum censorship | Other school restrictions | Restricting student & educator rights","Defeated","Legislative session ended","05/09/2024",""
"Louisiana","H.B.122","Curriculum censorship | Other school restrictions | Restricting student & educator rights","Passed into Law","Governor signed","06/19/2024",""
"Louisiana","H.B.121","Other school restrictions | Religious exemptions | Restricting student & educator rights | Weakening Civil Rights Laws","Passed into Law","Governor signed","06/19/2024",""
"Michigan","H.B.5831","Other anti-LGBTQ bills","Defeated","Legislative session ended","12/31/2024",""
"Delaware","S.B. 191","Restricting student & educator rights | School sports bans","Defeated","Legislative session ended","06/30/2024",""
"West Virginia","S.B.197","Drag bans | Free speech & expression bans | ","Defeated","Legislative session ended","03/09/2024",""
"West Virginia","S.B.195","Drag bans | Free speech & expression bans | ","Defeated","Legislative session ended","03/09/2024",""
"Arizona","S.B.1451","Healthcare restrictions | Other healthcare barriers","Defeated","Legislative session ended","06/15/2024",""
"Washington","H.B. 1601","Other school restrictions | Restricting student & educator rights","Defeated","Legislative session ended","03/07/2024",""
"West Virginia","H.B.5616","Healthcare restrictions | Other healthcare barriers","Defeated","Legislative session ended","03/09/2024",""
"West Virginia","H.B.5615","Healthcare restrictions | Other healthcare barriers","Defeated","Legislative session ended","03/09/2024",""
"Mississippi","H.B. 1953","Healthcare restrictions | Other healthcare barriers","Defeated","Died in committee","04/16/2024",""
"Missouri","H.B. 2830","Healthcare restrictions | Other healthcare barriers","Defeated","Legislative session ended","05/17/2024",""
"Tennessee","H.B.2936","Forced outing in schools | Other anti-LGBTQ bills | Restricting student & educator rights","Passed into Law","Companion bill passed into law","05/28/2024",""
"Tennessee","H.B.2310","Healthcare age restrictions | Healthcare restrictions | Other healthcare barriers","Passed into Law","Companion bill passed into law","05/28/2024",""
"Tennessee","S.B.2782","Healthcare age restrictions | Healthcare restrictions | Other healthcare barriers","Passed into Law","Governor signed","05/28/2024",""
"Tennessee","S.B.2749","Forced outing in schools | Other anti-LGBTQ bills | Restricting student & educator rights","Passed into Law","Governor signed","05/28/2024",""
"Ohio","HB 245","Drag bans | Free speech & expression bans | ","Defeated","Legislative session ended","12/19/2024",""
"Delaware","S.B. 315","Healthcare age restrictions | Healthcare funding restrictions | Healthcare restrictions | ","Defeated","Legislative session ended","06/30/2024",""
"Louisiana","H.B.608","Other anti-LGBTQ bills | Re-definition of sex | Restricting student & educator rights | School facilities bans | Weakening Civil Rights Laws","Passed into Law","Governor signed","06/03/2024",""
"South Carolina","H.B.4624","Forced outing in schools | Healthcare age restrictions | Healthcare funding restrictions | Healthcare restrictions | Restricting student & educator rights","Passed into Law","Governor signed","05/21/2024",""
"Oklahoma","S.B.1677","Religious exemptions | Weakening Civil Rights Laws","Defeated","Legislative session ended","05/30/2024",""
"Missouri","H.B. 2145","Restricting student & educator rights | School sports bans","Advancing","Referred to committee","05/17/2024",""
"Missouri","H.B. 1739","Forced outing in schools | Other school restrictions | Restricting student & educator rights","Defeated","Legislative session ended","05/29/2024",""
"Missouri","H.B. 1789","Other anti-LGBTQ bills","Advancing","Referred to committee","05/17/2024",""
"Missouri","H.B. 2885","Other school restrictions | Restricting student & educator rights","Advancing","Referred to committee","05/17/2024",""
"Missouri","H.B. 1523","Curriculum censorship | Forced outing in schools | Restricting student & educator rights","Advancing","Referred to committee","05/17/2024",""
"Missouri","H.B. 1849","Drag bans | Free speech & expression bans | ","Advancing","Referred to committee","05/17/2024",""
"Missouri","H.B. 1405","Forced outing in schools | Other school restrictions | Religious exemptions | Restricting student & educator rights | Weakening Civil Rights Laws","Advancing","Referred to committee","05/17/2024",""
"Missouri","H.B. 2300","Drag bans | Free speech & expression bans | ","Advancing","Referred to committee","05/17/2024",""
"Missouri","H.B. 1981","Restricting student & educator rights | School sports bans","Advancing","Referred to committee","05/17/2024",""
"Massachusetts","H 458","Curriculum censorship | Restricting student & educator rights","Defeated","Legislative session ended","12/31/2024",""
"Wisconsin","AB 465","Healthcare age restrictions | Healthcare restrictions | ","Defeated","Vetoed by Governor; Assembly failed to override veto","05/15/2024",""
"Wisconsin","AB 510","Curriculum censorship | Other school restrictions | Restricting student & educator rights","Defeated","Vetoed by Governor; Assembly failed to override veto","05/15/2024",""
"Alaska","H.B. 183","Restricting student & educator rights | School sports bans","Defeated","Legislative session ended","05/15/2024",""
"Tennessee","H.B.2619","Healthcare restrictions | Prison healthcare restrictions","Passed into Law","Companion bill passed into law","04/29/2024",""
"Mississippi","H.B. 1647","Other anti-LGBTQ bills","Passed into Law","Became act without Governor's signature","05/14/2024",""
